# time, g
155.79,0.098743
155.79,-0.00068036
155.79,-0.037135
155.79,0.012577
155.79,0.0026357
155.79,0.092118
155.79,0.032464
155.79,0.0059517
155.79,-0.030503
155.79,0.0026388
155.79,-0.080214
155.79,0.0092682
155.79,0.052353
155.79,-0.0039871
155.79,0.012584
155.8,-0.04707
155.8,-0.14649
155.8,-0.090152
155.8,-0.073581
155.8,0.019216
155.8,0.068928
155.8,0.0026461
155.8,-0.050379
155.8,-0.030494
155.8,0.10207
155.8,0.11533
155.8,0.082189
155.8,-0.14649
155.8,-0.22271
155.8,-0.1498
155.8,-0.13986
155.8,0.0026523
155.8,0.10539
155.8,0.13522
155.8,0.1982
155.81,0.095451
155.81,-0.083512
155.81,-0.17962
155.81,-0.15311
155.81,0.1054
155.81,0.42356
155.81,0.26117
155.81,-0.00065506
155.81,-0.21276
155.81,-0.42487
155.81,-0.13653
155.81,0.0059758
155.81,0.10871
155.81,0.29763
155.81,0.19489
155.81,0.098774
155.81,0.098775
155.81,-0.1531
155.81,-0.12327
155.81,-0.073559
155.82,-0.050359
155.82,0.1286
155.82,0.03581
155.82,-0.033786
155.82,-0.060299
155.82,-0.16635
155.82,-0.11664
155.82,0.0092997
155.82,0.068955
155.82,0.21147
155.82,0.24461
155.82,0.1021
155.82,-0.023839
155.82,-0.20612
155.82,-0.22269
155.82,-0.10006
155.82,-0.040407
155.82,0.035819
155.82,0.10542
155.82,0.062333
155.83,0.092161
155.83,-0.030461
155.83,-0.12326
155.83,-0.25251
155.83,-0.25251
155.83,-0.066914
155.83,0.20154
155.83,0.26119
155.83,0.31754
155.83,0.068968
155.83,-0.11
155.83,-0.23262
155.83,-0.16302
155.83,-0.04371
155.83,-0.033767
155.83,-0.037081
155.83,0.0060035
155.83,0.085543
155.83,0.14188
155.83,0.14188
155.84,-0.017193
155.84,-0.2061
155.84,-0.20278
155.84,-0.10999
155.84,0.098804
155.84,0.17835
155.84,0.15515
155.84,0.095492
155.84,-0.050329
155.84,-0.15307
155.84,-0.11661
155.84,-0.013872
155.84,0.13526
155.84,0.062354
155.84,-0.027127
155.84,-0.10998
155.84,-0.17295
155.84,-0.023811
155.84,0.006017
155.84,0.0723
155.85,0.10213
155.85,0.012647
155.85,0.052417
155.85,0.04579
155.85,-0.043691
155.85,-0.037062
155.85,-0.017177
155.85,-0.050318
155.85,-0.00060508
155.85,0.022594
155.85,-0.0072321
155.85,0.072308
155.85,-0.00060266
155.85,-0.11991
155.85,-0.053627
155.85,-0.15637
155.85,0.022599
155.85,0.18169
155.85,0.15186
155.85,0.15517
155.86,-0.020483
155.86,-0.20607
155.86,-0.20939
155.86,-0.040366
155.86,0.21152
155.86,0.3474
155.86,0.21483
155.86,-0.10333
155.86,-0.26904
155.86,-0.46458
155.86,-0.13316
155.86,0.21815
155.86,0.38717
155.86,0.34409
155.86,-0.076814
155.86,-0.38503
155.86,-0.34526
155.86,-0.10001
155.86,0.24135
155.86,0.35403
155.87,0.16844
155.87,-0.040354
155.87,-0.16629
155.87,-0.10332
155.87,-0.043667
155.87,0.019303
155.87,-0.013838
155.87,-0.02378
155.87,-0.046978
155.87,0.0027344
155.87,0.042505
155.87,0.06239
155.87,0.015993
155.87,0.052449
155.87,0.0060515
155.87,-0.0038902
155.87,0.0027387
155.87,-0.043659
155.87,-0.043658
155.87,-0.040343
155.88,-0.1232
155.88,-0.096682
155.88,-0.013828
155.88,-0.013828
155.88,0.15852
155.88,0.21486
155.88,0.12868
155.88,-0.0071969
155.88,-0.19942
155.88,-0.32204
155.88,-0.00056681
155.88,0.11211
155.88,0.17178
155.88,0.12206
155.88,-0.16296
155.88,-0.11987
155.88,-0.1033
155.88,-0.00056246
155.88,0.0093805
155.88,0.0027529
155.89,0.019324
155.89,0.012696
155.89,-0.060214
155.89,-0.063527
155.89,-0.0337
155.89,0.025955
155.89,0.13864
155.89,0.095554
155.89,-0.017126
155.89,-0.00055507
155.89,-0.00055447
155.89,0.15522
155.89,0.14527
155.89,-0.020438
155.89,-0.14306
155.89,-0.27231
155.89,-0.31539
155.89,-0.033691
155.89,0.21488
155.89,0.39716
155.9,0.42367
155.9,0.069049
155.9,-0.15631
155.9,-0.31539
155.9,-0.32865
155.9,0.0027688
155.9,0.14528
155.9,0.20494
155.9,0.15192
155.9,-0.11654
155.9,-0.14968
155.9,-0.2491
155.9,-0.070138
155.9,0.20163
155.9,0.22152
155.9,0.13534
155.9,-0.00053853
155.9,-0.24578
155.9,-0.29218
155.9,-0.18613
155.91,-0.020421
155.91,0.23478
155.91,0.28449
155.91,0.21489
155.91,0.098891
155.91,-0.11653
155.91,-0.17287
155.91,-0.076757
155.91,-0.02373
155.91,0.16518
155.91,0.016041
155.91,0.002785
155.91,-0.0038427
155.91,-0.15629
155.91,-0.050239
155.91,0.025986
155.91,0.01273
155.91,0.13535
155.91,0.042559
155.91,-0.0038384
155.92,-0.0071519
155.92,-0.10658
155.92,-0.04692
155.92,0.052504
155.92,0.012735
155.92,0.11547
155.92,0.022679
155.92,-0.023718
155.92,-0.12977
155.92,-0.1596
155.92,0.032624
155.92,0.10222
155.92,0.1652
155.92,0.10885
155.92,-0.15297
155.92,-0.21925
155.92,-0.19936
155.92,0.029314
155.92,0.21491
155.92,0.22486
155.93,0.095599
155.93,-0.089992
155.93,-0.23581
155.93,-0.25901
155.93,-0.03365
155.93,0.13537
155.93,0.21492
155.93,0.13869
155.93,-0.00050646
155.93,-0.12644
155.93,-0.17947
155.93,-0.050217
155.93,0.059151
155.93,0.15527
155.93,0.17515
155.93,0.012754
155.93,-0.050214
155.93,-0.19935
155.93,-0.20266
155.93,-0.11649
155.94,0.042585
155.94,0.1387
155.94,0.23813
155.94,0.12544
155.94,0.0028176
155.94,-0.10323
155.94,-0.1662
155.94,-0.096605
155.94,-0.013751
155.94,0.052533
155.94,0.11882
155.94,-0.043576
155.94,-0.070088
155.94,-0.040261
155.94,0.026023
155.94,0.16854
155.94,0.098935
155.94,-0.03363
155.94,-0.13968
155.94,-0.16619
155.95,-0.15625
155.95,0.012771
155.95,0.082368
155.95,0.029342
155.95,0.072427
155.95,0.0061447
155.95,0.0028312
155.95,0.019402
155.95,0.0094606
155.95,0.019404
